Stn,Glide,Pool,Riffle,Run
0,65.3321,,134.668,
5,,,200,
10,,,200,
15,,,200,
20,,,200,
25,,,200,
30,,,200,
35,,,200,
40,1.95271,,197.389,
45,1.345678,,158.192,
50,12.8252,,113.951,
55,71.6805,,32.7454,
60,104.047,,,
65,104.465,,,
70,102.815,,,
75,103.153,,,
80,103.436,,,
85,101.843,,,
90,103.334,,,
95,106.976,,,
100,129.494,,,
105,132.546,,,
110,130.959,,,
115,132.306,,,
120,131.574,,,
125,133.433,,,
130,134.633,,,
135,135.519,,,
140,149.04,,,
145,170.107,,,
150,183.314,,,
155,194.754,,,
160,193.681,,,
165,197.672,,,
170,200,,,
175,200,,,
180,200,,,
185,200,,,
190,200,,,
195,200,,,
200,200,,,
205,168.587,,31.4125,
210,50.0452,,149.956,
215,,,200,
220,,,200,
225,,,200,
230,,,200,
235,,,200,
240,2.81366,,197.187,
245,19.7944,,180.133,
250,31.0491,,165.043,
255,33.1908,,154.38,
260,25.7907,,147.763,
265,14.3461,,141.692,
270,2.70977,,138.935,
275,10.4854,,121.467,
280,16.4973,,99.507,
285,13.10044,,86.0321,
290,6.67691,,72.9417,
295,6.21557,,60.8516,
300,4.55496,,54.891,
305,7.78941,,45.4854,
310,3.28362,,39.3203,
315,11.9839,,26.1794,
320,12.282,,22.4575,
325,5.77962,,18.9672,
330,3.59729,,19.1903,
335,,,16.3589,
340,,,7.37992,
345,,,3.1059,
600,0.0879663,,,
605,5.58755,,,
610,10.5859,,7.63544,
615,13.1087,,14.9963,
620,19.8931,,16.7569,
625,27.0844,,23.8186,
630,29.1972,,29.5372,
635,33.7877,,31.2129,
640,39.1692,,30.6377,3.18032
645,50.8016,,22.2321,12.0271
650,84.3124,,3.40802,5.33485
655,110.712,,,
660,120.791,,,
665,128.382,,,
670,134.084,,,
675,146.667,,,
680,160.119,,,
685,87.846,,56.1405,
690,69.0589,,116.556,
695,67.79872,,128.631,
700,45.0771,,133.086,
705,26.4479,,135.648,
710,24.7436,,116.291,
715,19.9359,,106.342,
720,12.4988,,98.1373,
725,2.87224,,96.8118,
730,13.1224,,72.4196,
735,32.1244,,43.6533,
740,40.9203,,37.769,
745,39.2849,,40.996,
750,10.667,,54.7464,
755,9.38502,,57.2603,
760,15.4226,,52.1899,
765,15.5709,,43.0621,
770,16.0788,,39.6176,
775,30.9147,,23.3413,
780,53.7536,,,
785,60.5444,,,
790,62.0211,,0.594419,
795,51.59086,,14.0358,
800,54.189,,33.8736,
805,62.2906,,46.8101,
810,71.5758,,56.2816,
815,127.746,,62.8479,
820,126.361,,73.6387,
825,125.311,,74.6892,
830,120.796,,79.2047,
835,114.3,,85.7007,
840,106.663,,93.3379,
845,96.7103,,94.5636,8.72538
850,89.3929,0.0362139,78.4209,32.1497
855,83.7215,2.11179,81.9947,32.1735
860,74.1748,6.34194,87.9586,31.5229
865,76.4137,11.3398,80.2938,31.9536
870,72.3862,16.3871,75.4813,35.7459
875,69.7785,22.5281,69.1012,38.5923
880,94.5024,30.8217,33.2264,41.4501
885,142.413,42.1043,0.349418,15.132
890,144.919,55.082,,
895,131.908,68.0904,,
900,118.868,81.1333,,
905,105.793,94.2062,,
910,93.172,106.829,,
915,83.3769,116.623,,
920,69.125,130.874,,
925,54.8384,145.162,,
930,38.7744,161.226,,
935,22.3041,177.696,,
940,5.08818,194.911,,
945,,200,,
950,,200,,
955,,200,,
960,,200,,
965,,200,,
970,,200,,
975,,200,,
980,,200,,
985,,200,,
990,,200,,
995,,200,,
1000,,200,,
1005,,200,,
1010,,200,,
1015,,200,,
1020,,200,,
1025,,200,,
1030,,200,,
1035,,200,,
1040,,200,,
1045,,200,,
1050,,200,,
1055,,200,,
1060,,200,,
1065,,200,,
1070,,200,,
1075,,200,,
1080,,200,,
1085,,200,,
1090,,200,,
1095,,200,,
1100,,200,,
1105,,200,,
1110,,200,,
1115,,200,,
1120,,200,,
1125,,200,,
1130,,200,,
1135,,200,,
1140,,200,,
1145,,200,,
1150,,200,,
1155,,200,,
