Stn,Glide,Pool,Riffle,Run
0,28.2022,,171.798,
5,29.1169,,170.883,
10,28.8517,,171.148,
15,41.6633,,158.336,
20,58.8192,,141.181,
25,67.1734,,132.827,
30,72.3755,,127.624,
35,76.24,,121.149,
40,37.6304264,,21.8779,
45,15.8542,,,
50,15.925246,,,
55,2.87915,,,
70,0.152938,,,
75,19.5934,,,
80,9.57157,,,
155,0.177406,,,
160,0.186839,,,
165,3.64094,,,
170,21.0564,,,
175,37.3285,,,
180,50.3457,,,
185,65.5611,,,
190,73.0765,,,
195,82.9697,,,
200,91.4163,,,
205,93.3127,,,
210,118.0886,,2.97398,
215,86.1587,,50.6156,
220,56.4369,,79.9022,
225,30.24071,,97.3844,
230,27.7318,,111.782,
235,15.5629,,131.564,
240,34.7264,,150.465,
245,25.8568,,173.896,
250,13.4011,,186.599,
255,10.034,,189.966,
260,9.64698,,190.353,
265,9.56319,,190.437,
270,7.65148,,192.349,
275,6.95088,,193.048,
280,6.13565,,193.865,
285,5.24801,,194.752,
290,5.07282,,194.927,
295,4.17567,,195.825,
300,3.5421,,196.458,
305,4.07409,,195.926,
310,24.55127,,175.448,
315,30.2487474,,167.514,
320,33.0544,,165.437,
325,29.7842,,168.295,
330,16.4927,,182.478,
335,0.00573839,,199.994,
340,,,198.466,
345,,,197.163,
350,0.3674305,,194.624,
355,17.971994,,168.562,9.2136
360,29.80169,,145.069,14.4571
365,28.56048,,134.508,13.2394
370,30.05101,,125.743,13.3134
375,31.48822,,102.96,20.8584
380,28.5203,1.05093,69.9081,39.0207
385,36.21623,3.84447,30.0801,57.4774
390,66.8361,3.5645,,51.6486
395,76.5832,3.06751,,40.0571
400,78.5775,3.02382,,36.2374
405,74.951,3.18394,,35.0666
410,74.7279,3.50035,,35.7806
415,70.1036,3.15659,,36.3646
420,66.2239,3.51246,,37.1391
425,59.6527847,3.10655,,41.32
430,53.63201,,0.0170545,48.034
435,41.18971,,9.73926,49.4215
440,31.19426,,26.695,45.1753
445,20.86361,,37.9025,41.2394
450,28.40182,,35.2093,41.3321
455,35.07166,,26.8335,45.839
460,45.79692,,1.04875,63.021
465,62.54733,,,57.4674
470,69.92279,,,51.1392
475,76.91221,2.403603,,43.7277
480,63.742,20.99503,,39.9131
485,57.9367,32.67964,,36.15
490,56.4639,38.7372,,34.1349
495,59.073,40.77695,,33.1353
500,54.6565,40.77724,,33.2204
505,60.3065,38.42667,,34.9031
510,61.0856,38.33947,,36.4198
515,58.475,36.87862,,38.5716
520,61.3617,36.3564,,42.087
525,62.8207,39.4932,,42.6763
530,58.6802,41.31741,,43.7725
535,57.685,41.8052,,44.6524
540,61.6198,44.06857,,43.5898
545,65.8038338,39.45622,,43.0204
550,75.8202,28.6188237,,43.4286
555,103.23193,2.41364,,44.4273
560,105.64019,,,47.3241
565,106.49929,,,52.5498
570,101.65346,,,62.1205
575,93.5261,,,71.383
580,88.80344,,11.3402,68.1023
585,102.09667,,37.8809,41.9443
590,105.47517,,51.6673,29.3463
595,113.28974,,65.4167,14.1078
600,128.9115,,65.7732,0.224299
605,119.0802,,74.819,6.10121
610,41.7939,,145.17,13.0347
615,13.1798,,168.851,17.9681
620,12.2128,,168.55,19.2381
625,23.9499,,157.435,18.6142
630,31.4861,,150.788,17.726
635,41.1195,,141.145,17.7364
640,84.19433,,97.5285,18.2775
645,114.7879,,66.7831,18.4281
650,133.0195,,48.4011,18.5797
655,135.527,,45.3657,19.1072
660,131.3222,,48.1753,20.5025
665,104.4996,,75.2989,20.2023
670,66.1512,,114.169,19.6789
675,53.685,,127.089,19.2265
680,57.45907,,131.674,10.8671
685,200,,,
690,109.003,,90.9965,
695,53.01459,,133.583,12.8817
700,54.6454,,121.337,1.14126
705,69.3325,,112.317,
710,62.5897,,109.152,
715,51.5485,,116.092,
720,66.957,,117.247,
725,58.3389,,120.388,
730,54.3453,,121.314,
735,73.316,,121.871,
740,67.8164,,124.039,
745,59.0162,,128.024,
750,54.1751,,127.558,
755,44.3894,,132.688,
760,48.6576,,140.757,
765,40.055,,147.347,
770,37.3158,,144.812,
775,38.4899,,149.871,
780,31.3061,,163.839,
785,20.06396,,177.681,
790,19.39099,,180.61,
795,16.272,,183.728,
800,17.2879,,182.711,
805,20.5632,,179.436,
810,21.2475,,178.754,
815,35.4295,,164.57,
820,45.5802,,144.607,
825,34.3896,,113.407,
830,23.3191,,97.2626,
835,34.6792,,77.4334,
840,53.9596,,57.2548,
845,50.7838,,39.5045,
850,63.4107,,25.848,
855,71.5913,,13.5757,
860,81.1772,,2.56881,
865,79.3138,,,
870,76.9487,,,
875,76.1486,,,
880,54.4534,,,
885,54.9265,,,
890,77.94035,,,
895,79.3832,,,
900,75.02997,,,
905,85.0279,,,
910,86.8142,,,
915,96.2947,,,
920,117.30502,,,
925,150.05517,,,
930,165.2746,,,
935,172.54491,,,
940,187.965,1.05617,,
945,183.058,16.9426,,
950,166.435,33.5646,,
955,148.907,51.0933,,
960,132.939,67.0602,,
965,118.072,81.9279,,
970,105.215,94.7854,,
975,93.1508,106.849,,
980,85.9866,114.014,,
985,75.4173,124.582,,
990,66.2817,133.719,,
995,69.7713,130.228,,
1000,66.6038,133.396,,
1005,61.9978,138.002,,
1010,49.129,150.87,,
1015,40.7841,159.216,,
1020,34.4947,165.506,,
1025,24.8852,175.114,,
1030,1.35611,198.645,,
1035,,200,,
1040,,200,,
1045,,200,,
1050,,200,,
1055,,200,,
1060,,200,,
1065,,200,,
1070,,200,,
1075,,200,,
1080,,200,,
1085,,200,,
1090,,200,,
1095,,200,,
1100,,200,,
1105,,200,,
1110,,200,,
1115,,200,,
1120,,200,,
1125,,200,,
1130,,200,,
1135,,200,,
1140,,200,,
1145,,200,,
1150,,200,,
1155,,200,,
