Row Labels,NR,SR,XDR
0,,,
10,,33.75452,
15,,42.7866,
20,,40.2228,
25,,48.8279,
30,,67.3043,
35,,72.4449,
40,,78.8779,
45,,88.45217,
50,,52.5856,
55,,25.30084843,
60,,137.2864434,
65,,201.77,
70,,196.013,
75,,175.097,
80,,160.934,
85,,146.471,
90,,136.477,
95,,131.121,
100,,129.604,
105,,149.496,
110,,161.463,
115,,167.226,
120,,178.582,
125,,187.724,
130,,200.321,
135,,212.15,
140,,217.87,
145,,232.657,
150,,256.783,
155,,278.154,
160,,297.773,
165,,314.453,
170,,324.106,
175,,342.38,
180,,353.379,
185,,377.143,
190,,394.87,
195,316.781,434.626,
200,333.512,455.106,
205,291.834,470.072,
210,284.728,413.662,
215,307.864,314.729,
220,340.673,224.833,
225,370.148,172.519,
230,398.169,140.306,
235,426.133,134.063,
240,430.416,156.536,
245,430.638,79.965,
250,432.7,82.0282,
255,431.172,85.811,
260,430.504,77.0133,
265,430.448,64.6962,
270,429.433,43.9791,
275,429.709,28.4802747,
280,415.431,32.3399,
285,397.945,32.90185,
290,385.421,32.174871,
295,376.82,18.122599,
300,369.817,15.52320688,
305,365.662,21.379,
310,361.634,17.23851,
315,365.993,16.0511801,
320,373.181,60.95404,
325,382.674,91.202636,
330,407.61,100.00729,
335,426.386,102.9929078,
340,418.102,86.5373965,
345,406.622,61.248852,
350,389.604,55.91695,
355,368.843,57.61636,
360,348.529,51.07123,
365,331.757,54.99627,
370,320.701,59.566737,
375,312.114,58.593625,
380,307.058,69.481346,
385,307.142,74.22865,
390,308.043,71.39886,
395,311.595,73.54352,
400,314.078,92.878157,
405,315.313,102.1991211,
410,312.946,114.4255,
415,310.617,114.767582,
420,305.552,117.78379,
425,300.779,109.73815,
430,297.449,95.09588,
435,293.894,87.93837,
440,291.961,77.51676,
445,292.065,63.051832,
450,294.165,47.746903,
455,296.809,39.421255,
460,300.301,54.93788,
465,307.282,64.68056,
470,315.472,80.52725,
475,329.835,99.27284,
480,343.324,110.32952,
485,394.477,118.32354,
490,428.186,97.4986127,
495,443.237,90.2637,
500,448.404,91.1383,
505,452.437,94.2762,
510,456.669,102.8479,
515,462.366,113.0642,
520,467.906,115.4532,
525,471.747,132.8588,
530,476.665,139.6416,
535,482.998,146.0951,
540,472.126,150.8779,
545,438.579,161.3507,
550,411.632,177.4526,
555,403.399,204.0962,
560,,,656.131
565,,,664.368
570,,,677.116
575,,,708.84
580,,,663.278
585,,,650.42
590,,,645.454
595,,,624.767
600,,,618.985
605,,,550.224
610,,,453.057
615,,,377.6423
620,,,332.69504
625,,,372.635058
630,,,377.3062
635,,,378.5597
640,,,388.3657
645,,,410.417
650,,,433.331
655,,,458.91
660,,,449.442
665,,,429.752
670,,,347.368
675,,,313.2947
680,,,309.8805
685,,,232.8297
690,,,210.39884
695,,,174.73166
700,,,161.276452
705,,,146.55695
710,,,123.1659
715,,,155.39757
720,,,147.3215
725,,,150.13043
730,,,170.1619
735,,,158.16159
740,,,155.7515
745,,,168.0914
750,,,171.8442
755,,,204.5301
760,,,197.1032047
765,,,189.3956
770,,,171.8161
775,,,166.08
780,,,188.9129
785,,,187.8182
790,,,175.0921
795,,,163.75143
800,,,160.35032
805,,,168.473
810,,,180.656
815,,,222.009
820,,,210.768
825,,,195.922
830,,,192.07
835,,,193.191
840,,,172.232
845,,,163.175
850,,,154.747
855,,,154.151
860,,,155.059
865,,,151.416
870,,,146.095
875,,,129.488
880,,,149.612
885,,,204.26
890,,,198.986
895,,,184.455
900,,,186.711
905,,,175.393
910,,,172.947
915,,,174.14
920,,,181.747
925,,,180.008
930,,,171.055
935,,,172.296
940,,,150.56
945,,,134.845
950,,,118.037
955,,,103.786
960,,,91.5866
965,,,81.0253
970,,,69.9889
975,,,64.1703
980,,,53.801
985,,,52.3609
990,,,53.1384
995,,,51.6098
1000,,,46.18
1005,,,34.3728
1010,,,31.115
1015,,,25.0274
1020,,,7.32696
1025,,,
1030,,,
1035,,,
1040,,,
1045,,,
1050,,,
1055,,,
1060,,,
1065,,,
1070,,,
1075,,,
1080,,,
1085,,,
1090,,,
1095,,,
1100,,,
1105,,,
1110,,,
1115,,,
1120,,,
1125,,,
1130,,,
1135,,,
1140,,,
1145,,,
