Row Labels,NR,SR,XDR
0,,,
10,,33.75452,
15,,42.7866,
20,,40.2228,
25,,48.8279,
30,,67.3043,
35,,72.4449,
40,,78.8779,
45,,83.5856,
50,,39.4522,
55,,12.35224843,
60,,137.23505,
65,,201.77,
70,,196.013,
75,,175.097,
80,,160.934,
85,,146.471,
90,,136.477,
95,,131.121,
100,,129.604,
105,,149.496,
110,,161.463,
115,,167.226,
120,,178.582,
125,,187.724,
130,,200.321,
135,,212.15,
140,,217.87,
145,,232.657,
150,,256.783,
155,,278.154,
160,,297.773,
165,,314.453,
170,,324.106,
175,,342.38,
180,,353.379,
185,,377.143,
190,,394.87,
195,316.781,434.626,
200,333.512,455.106,
205,291.834,470.072,
210,284.728,413.662,
215,307.864,314.729,
220,340.673,224.833,
225,370.148,172.519,
230,398.169,140.306,
235,426.133,134.063,
240,430.416,156.536,
245,430.638,79.965,
250,432.7,82.0282,
255,431.172,85.811,
260,430.504,77.0133,
265,430.448,64.6962,
270,429.433,43.9791,
275,429.709,28.4617,
280,415.431,20.8987,
285,397.945,11.6694,
290,385.421,10.6017,
295,376.82,10.5262,
300,369.817,9.37089,
305,365.662,7.74196,
310,361.634,5.06896,
315,365.993,6.8718101,
320,373.181,46.82263,
325,382.674,71.40681,
330,407.61,83.7233,
335,426.386,90.9567,
340,418.102,77.7112,
345,406.622,54.54777,
350,389.604,48.2939,
355,368.843,44.8067,
360,348.529,38.1443,
365,331.757,41.45335,
370,320.701,48.4838,
375,312.114,47.5668,
380,307.058,58.946136,
385,307.142,64.07989,
390,308.043,62.12325,
395,311.595,66.1713,
400,314.078,86.12778,
405,315.313,96.869,
410,312.946,104.014,
415,310.617,102.259,
420,305.552,102.563,
425,300.779,96.4809,
430,297.449,91.6773,
435,293.894,83.2238,
440,291.961,71.0458,
445,292.065,54.1622,
450,294.165,40.25076,
455,296.809,31.43139,
460,300.301,46.5914,
465,307.282,55.5331,
470,315.472,71.16743,
475,329.835,90.14529,
480,343.324,102.779,
485,394.477,112.4789,
490,428.186,97.4524,
495,443.237,90.2637,
500,448.404,91.1383,
505,452.437,94.2762,
510,456.669,102.8479,
515,462.366,113.0642,
520,467.906,115.4532,
525,471.747,132.8588,
530,476.665,139.6416,
535,482.998,146.0951,
540,472.126,150.8779,
545,438.579,161.3507,
550,411.632,177.4526,
555,403.399,204.0962,
560,,,656.131
565,,,664.368
570,,,677.116
575,,,708.84
580,,,663.278
585,,,650.42
590,,,645.454
595,,,624.767
600,,,618.985
605,,,550.224
610,,,453.057
615,,,377.6423
620,,,322.9803
625,,,372.3498
630,,,377.3062
635,,,378.5597
640,,,388.3657
645,,,410.417
650,,,433.331
655,,,458.91
660,,,449.442
665,,,429.752
670,,,347.368
675,,,313.2947
680,,,309.8805
685,,,232.8297
690,,,201.5549
695,,,170.5756
700,,,160.6512
705,,,114.5487
710,,,105.2831
715,,,133.9503
720,,,123.2411
725,,,120.89603
730,,,141.3349
735,,,156.2669
740,,,155.7515
745,,,168.0914
750,,,171.8442
755,,,204.5301
760,,,197.1032047
765,,,189.3956
770,,,171.8161
775,,,166.08
780,,,188.9129
785,,,167.249
790,,,158.06
795,,,153.261
800,,,155.442
805,,,168.473
810,,,180.656
815,,,222.009
820,,,210.768
825,,,195.922
830,,,192.07
835,,,193.191
840,,,172.232
845,,,163.175
850,,,154.747
855,,,154.151
860,,,155.059
865,,,151.416
870,,,146.095
875,,,129.488
880,,,149.612
885,,,204.26
890,,,198.986
895,,,184.455
900,,,186.711
905,,,175.393
910,,,172.947
915,,,174.14
920,,,181.747
925,,,180.008
930,,,171.055
935,,,172.296
940,,,150.56
945,,,134.845
950,,,118.037
955,,,103.786
960,,,91.5866
965,,,81.0253
970,,,69.9889
975,,,64.1703
980,,,53.801
985,,,52.3609
990,,,53.1384
995,,,51.6098
1000,,,46.18
1005,,,34.3728
1010,,,31.115
1015,,,25.0274
1020,,,7.32696
1025,,,
1030,,,
1035,,,
1040,,,
1045,,,
1050,,,
1055,,,
1060,,,
1065,,,
1070,,,
1075,,,
1080,,,
1085,,,
1090,,,
1095,,,
1100,,,
1105,,,
1110,,,
1115,,,
1120,,,
1125,,,
1130,,,
1135,,,
1140,,,
1145,,,
