Row Labels,NR,SR,XDR
0,,,
10,,,
15,,,
20,,,
25,,,
30,,,
35,,,
40,,,
45,,,
50,,,
55,,,
60,,10.0314,
65,,13.0609268,
70,,28.9519,
75,,60.4325,
80,,78.9029,
85,,98.0073,
90,,109.3205,
95,,117.4242,
100,,120.2624,
105,,119.7675,
110,,111.9122,
115,,100.9011,
120,,91.1966,
125,,78.6714,
130,,68.109,
135,,60.494,
140,,52.6478,
145,,47.9046,
150,,46.2762,
155,,41.9014,
160,,29.4432,
165,,21.890841,
170,,5.49023,
175,,,
180,,,
185,,,
190,,,
195,80.4683,,
200,98.8158,,
205,139.946,,
210,145.705,,
215,121.975,,
220,91.5058,,
225,61.7876,,
230,32.9653,,
235,3.81729,,
240,,,
245,,,
250,,,
255,,,
260,,,
265,,,
270,,,
275,,,
280,14.9058,,
285,32.2285,,
290,47.4914,,
295,59.5344,,
300,69.9496,,
305,76.9164,,
310,78.3487,,
315,74.1426,,
320,66.6959,,
325,55.935,,
330,29.8077,,
335,11.11,,
340,21.3167,,
345,33.596,,
350,52.6241,,
355,73.3758,,
360,95.41,,
365,112.779,,
370,126.093,,
375,135.07,,
380,141.263,,
385,142.182,,
390,142.965,,
395,140.087,,
400,135.779,,
405,132.672,,
410,131.166,,
415,130.167,,
420,130.636,,
425,132.222,,
430,131.242,,
435,131.353,,
440,133.848,,
445,132.179,,
450,128.925,,
455,126.849,,
460,123.082,,
465,115.625,,
470,109.607,,
475,99.1949,,
480,73.9607,,
485,19.6626,2.64374,
490,,25.0077,
495,,38.4142,
500,,46.0572,
505,,47.6371,
510,,45.8508,
515,,44.5481,
520,,42.4117,
525,,41.7027,
530,,43.6837,
535,,44.625,
540,,47.5875,
545,,49.5583,
550,,47.1093,
555,,40.4649,
560,,,18.698
565,,,
570,,,
575,,,
580,,,
585,,,
590,,,
595,,,
600,,,
605,,,
610,,,
615,,,
620,,,
625,,,
630,,,
635,,,
640,,,5.39471
645,,,41.3306
650,,,66.1955
655,,,79.4176
660,,,90.4877
665,,,103.141
670,,,133.731
675,,,143.081
680,,,143.001
685,,,144.028
690,,,145.026
695,,,144.03
700,,,145.01
705,,,145.034
710,,,145.467
715,,,148.038
720,,,149.619
725,,,151.11
730,,,152.324
735,,,154.732
740,,,155.066
745,,,158.807
750,,,162.235
755,,,167.754
760,,,173.006
765,,,179.169
770,,,187.212
775,,,193.03
780,,,195.463
785,,,192.02
790,,,182.842
795,,,172.114
800,,,164.706
805,,,159.614
810,,,157.124
815,,,155.128
820,,,152.42
825,,,150.084
830,,,150.607
835,,,154.196
840,,,162.59
845,,,169.347
850,,,177.855
855,,,182.668
860,,,186.507
865,,,189.579
870,,,193.853
875,,,199.764
880,,,206.821
885,,,217.171
890,,,230.329
895,,,241.904
900,,,253.669
905,,,265.546
910,,,275.12
915,,,283.373
920,,,295.35
925,,,305.715
930,,,321.611
935,,,333.341
940,,,351.354
945,,,362.964
950,,,374.607
955,,,385.361
960,,,394.854
965,,,403.308
970,,,411.642
975,,,415.481
980,,,424.473
985,,,426.209
990,,,426.839
995,,,430.911
1000,,,437.307
1005,,,450.228
1010,,,456.238
1015,,,465.595
1020,,,486.918
1025,,,498.243
1030,,,500.61
1035,,,501.618
1040,,,502.499
1045,,,503.864
1050,,,503.752
1055,,,504.694
1060,,,505.259
1065,,,505.622
1070,,,506.518
1075,,,507.867
1080,,,508.378
1085,,,508.763
1090,,,508.806
1095,,,509.669
1100,,,508.67
1105,,,508.685
1110,,,509.689
1115,,,508.682
1120,,,508.689
1125,,,508.552
1130,,,509.957
1135,,,508.401
1140,,,508.815
1145,,,501.688
