Row Labels,NR,SR,XDR
0,,,
10,,429.826,
15,,506.277,
20,,509.002,
25,,499.71,
30,,481.957,
35,,475.59,
40,,446.124,
45,,383.191,
50,,246.269,
55,,165.252,
60,,31.9412,
65,,,
70,,,
75,,,
80,,,
85,,,
90,,,
95,,,
100,,,
105,,,
110,,,
115,,,
120,,,
125,,,
130,,,
135,,,
140,,,
145,,,
150,,,
155,,,
160,,,
165,,,
170,,,
175,,,
180,,,
185,,,
190,,,
195,,,
200,,,
205,,,
210,,68.4396,
215,,175.35653,
220,,286.9383,
225,,352.0452,
230,,389.6518,
235,,413.4748,
240,,411.1939,
245,,400.7876,
250,,407.5333,
255,,399.7296,
260,,402.3046,
265,,405.8107,
270,,402.0156,
275,,411.0872,
280,,403.8373,
285,,386.8065,
290,,368.2075,
295,,357.2541,
300,,349.0126,
305,,355.6151,
310,,354.4136,
315,,353.2193,
320,,315.1333,
325,,287.0084,
330,,275.8454,
335,,275.4392,
340,,293.0912,
345,,306.5298,
350,,306.7591,
355,,298.0597,
360,,294.0665,
365,,286.0969,
370,,247.3248,
375,,227.2363,
380,,216.7091,
385,,189.9875,
390,,147.719,
395,,106.5343,
400,,59.079661,
405,,59.4509,
410,,55.6556,
415,,53.2583,
420,,50.549,
425,,51.5501,
430,,52.1967,
435,,51.0094,
440,,51.5197,
445,,62.35411,
450,,90.3594,
455,,108.5773,
460,,100.2639,
465,,90.0192,
470,,55.13105,
475,,60.9511,
480,,64.805,
485,,65.7041,
490,,64.6974,
495,,64.8129,
500,,63.6594,
505,,55.8854,
510,,50.7037,
515,,45.644,
520,,41.5065,
525,,39.2884,
530,,35.4894,
535,,32.0557,
540,18.8565,30.3717,
545,62.7956,30.418,
550,99.7053,28.4266,
555,120.077,32.1444,
560,,,163.457
565,,,153.957
570,,,103.287
575,,,11.0524
580,,,
585,,,0.0963735
590,,,35.1825
595,,,60.0697
600,,,102.2972
605,,,210.7068
610,,,264.48
615,,,320.505
620,,,308.5614
625,,,242.06419
630,,,228.294
635,,,219.274
640,,,200.902
645,,,129.714
650,,,77.6767
655,,,55.4731
660,,,50.6728
665,,,53.0267
670,,,91.7852
675,,,121.196
680,,,126.620237
685,,,205.224
690,,,252.616
695,,,244.685
700,,,255.136
705,,,247.8131
710,,,245.8355
715,,,245.7012
720,,,239.498
725,,,223.103
730,,,215.753
735,,,214.595
740,,,219.64
745,,,222.991
750,,,245.826
755,,,242.201
760,,,236.361
765,,,214.1606
770,,,203.2118
775,,,195.958
780,,,156.66723
785,,,160.583
790,,,165.343
795,,,179.919
800,,,193.493
805,,,198.256
810,,,193.481
815,,,182.889
820,,,169.236
825,,,156.542
830,,,146.84
835,,,137.318
840,,,128.478
845,,,115.781
850,,,90.2702
855,,,84.9054
860,,,76.942
865,,,71.7609
870,,,68.0028
875,,,57.2325
880,,,20.1514
885,,,
890,,,
895,,,
900,,,
905,,,
910,,,
915,,,
920,,,
925,,,
930,,,
935,,,
940,,,
945,,,
950,,,
955,,,
960,,,
965,,,
970,,,
975,,,
980,,,
985,,,
990,,,
995,,,
1000,,,
1005,,,
1010,,,
1015,,,
1020,,,
1025,,,
1030,,,
1035,,,
1040,,,
1045,,,
1050,,,
1055,,,
1060,,,
1065,,,
1070,,,
1075,,,
1080,,,
1085,,,
1090,,,
1095,,,
1100,,,
1105,,,
1110,,,
1115,,,
1120,,,
1125,,,
1130,,,
1135,,,
1140,,,
1145,,,
